LakeID,Hylak_id,short_name,Name,Country,Lat_centre,Lon_centre,Sea_mask,Lake_area,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Z_max,TR,Phase,Cover_1995_2020,annual_ave_95_10
472,1085,GLWD00000472, ozero Nizhnee Kuyto,Russian Federation,65.1347,31.4347,0,445.86,7598.39,17,92.753,948.2,92,51.126295249629926,NC,Cool,0.264,12.302686654537226
474,500,GLWD00000474, Pinehouse lake,Canada,55.4125,-106.6264,0,379.1,8243.2,21.7,194.97,489.3,379,65.23239250857296,NC,Cool,0.241,14.11403580845024
477,864,GLWD00000477, Nezahualcoyotl,Mexico,17.1847,-93.7431,0,291.99,8300,28.4,463.887,207.1,178,85.27689304428235,NH,Hot,0.185,26.90859501562415
481,1180,GLWD00000481, lough Neagh,United Kingdom,54.5931,-6.4153,0,374.73,2914.36,7.8,110.492,305.3,10,23.33167881,NT,Temperate,0.357,10.325583220887136
482,462,GLWD00000482, Karsakuwigamak lake and Notigi lake,Canada,56.2764,-99.5625,0,693.35,4463,6.4,16.704,3092.4,256,19.31059349534867,NC,Cool,0.249,12.602178465175026
483,1204,GLWD00000483, lake Chukchagirskoye,Russian Federation,52.0069,136.6153,0,372.31,5790.86,15.6,7.905,8478.7,68,46.66159920496359,NC,Cool,0.201,15.4208379
484,1392,GLWD00000484, Hadithah dam lake,Iraq,34.2486,42.3375,0,339.21,11000,32.4,823.593,154.6,138,97.28486778,NH,Hot,0.434,19.860061866595775
486,646,GLWD00000486, Trout lake,Canada,51.2014,-93.3208,0,347.42,5810.4,16.7,8.861,7589.4,394,50.17327730124921,NC,Cool,0.211,13.176351438571407
488,1303,GLWD00000488, Scutari/Skadarsko lake,Albania;Montenegro,42.1931,19.2931,0,380.69,15558.26,40.9,167.386,1075.8,1,122.60574220494364,NW,Warm,0.413,17.29077428008039
493,676,GLWD00000493, lac Matagami and lac Soscumica,Canada,49.8986,-77.6903,0,255.43,3973.43,15.6,1035.577,44.4,245,46.66754100927847,NC,Cool,0.219,13.817292578753635
494,934,GLWD00000494, represa de Agua Vermelha,Brazil,-19.8486,-50.1014,0,507.07,11100,21.9,2234.938,57.5,379,65.67140631,SH,Hot,0.168,23.954152677099778
495,1008,GLWD00000495, ozero Portnyagino,Russian Federation,74.1403,107.1458,0,375.48,11172.39,29.8,1.452,89056.5,39,89.26486097794823,NF,Frigid,0.185,3.989562454919765
496,936,GLWD00000496, Volta Grande dam,Brazil,-20.1153,-48.1514,0,178.4,2170,12.2,1171.983,21.4,493,36.49103139013453,SH,Hot,0.267,24.273280304520956
503,420,GLWD00000503, Nejanilini lake,Canada,59.6264,-97.6653,0,290.94,2238.31,7.7,33.091,782.9,267,23.080119612291195,NC,Cool,0.152,11.245007735297026
508,551,GLWD00000508, Cold lake,Canada,54.5542,-110.0958,0,346.85,15131.9,43.6,13.192,13276,531,130.87991927346116,NC,Cool,0.3,11.168411788099323
510,914,GLWD00000510, represa da Boa Esperanca,Brazil,-6.7486,-43.5986,0,311.16,5060,16.3,502.502,116.5,160,48.78519089857309,TH,Hot,0.135,28.99280991100275
514,412,GLWD00000514, Tazin lake,Canada,59.8153,-109.2125,0,376.14,16175.89,43,25.923,7222.2,345,129.0149146594353,NC,Cool,0.251,9.879249183593563
