train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,iter_seed,ps,seed
0.9910877,0.40567824,0.021019598,0.29280335,0.028901894,0.9753058,0.62233025,0.035688706,0.46514815,0.044245902,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,Feeagh,11,4,100
0.9841325,0.54130334,0.028046805,0.41951945,0.045770716,0.96949327,0.6917062,0.0396672,0.54443187,0.05466383,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,Feeagh,22,4,100
0.98537844,0.5196174,0.026923181,0.3924825,0.040716074,0.96720135,0.7172188,0.04113027,0.5132091,0.049543776,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,33,4,100
0.9862395,0.50408494,0.026118392,0.3635298,0.035397146,0.9525815,0.86237746,0.049454667,0.6500384,0.069403686,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,Feeagh,44,4,100
0.98829395,0.46493468,0.02408988,0.34672883,0.034767836,0.9757249,0.61702746,0.035384607,0.45261347,0.04290577,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,66,4,100
0.98804486,0.4698552,0.02434483,0.34385532,0.03526178,0.9644566,0.74662584,0.042816672,0.571339,0.0638758,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,Feeagh,11,6,100
0.9858708,0.51079404,0.026466014,0.37476078,0.036543336,0.96728307,0.7163244,0.041078977,0.5176166,0.048375547,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,22,6,100
0.9837738,0.54738724,0.028362034,0.41257203,0.042097013,0.9728071,0.65305763,0.037450828,0.48842576,0.047587138,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,33,6,100
0.98623776,0.504117,0.026120054,0.37541634,0.036928937,0.95992017,0.7928416,0.045467004,0.61759764,0.061089747,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,Feeagh,44,6,100
0.988081,0.46914443,0.024308003,0.33529818,0.033078305,0.9756006,0.61860466,0.035475057,0.48218262,0.0457584,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,66,6,100
