"LakeID","LakeTR","annual_ave_95_10","Lon_centre","Lat_centre"
590,"H",20.4381506861977,-101.1931,19.9319
594,"F",5.90985335106547,18.7847,68.4125
601,"T",15.505548539285,39.1986,44.9625
603,"H",25.4583488122589,102.5792,16.7569
623,"H",14.6039391700353,116.4569,29.9931
624,"C",14.8048057338009,-100.6569,52.4125
630,"F",13.570863337335,90.5236,49.4875
634,"W",17.4721829591812,29.5125,40.4375
635,"F",8.55407231939238,-126.2931,66.9458
637,"H",18.906361227566,-64.9931,-27.5431
639,"F",7.03310398603573,90.3125,35.2069
645,"C",13.3049030876156,99.1597,45.5903
646,"C",12.9621779031507,-101.0653,54.0569
648,"H",26.6462085540105,-65.9458,-13.0069
654,"C",10.654512978941,14.7597,60.8653
657,"C",13.2231377640344,29.7181,62.7347
