"lake_id","test_rmse","Model"
1658,1.1271195,"Transfer-PIDL-Frigid"
1659,0.9737227,"Transfer-PIDL-Frigid"
1676,1.0526541,"Transfer-PIDL-Frigid"
1679,1.1102029,"Transfer-PIDL-Frigid"
1703,1.1181973,"Transfer-PIDL-Frigid"
1706,1.0836034,"Transfer-PIDL-Frigid"
1714,1.0732843,"Transfer-PIDL-Frigid"
1730,1.0028579,"Transfer-PIDL-Frigid"
1735,1.2491597,"Transfer-PIDL-Frigid"
1740,1.6354544,"Transfer-PIDL-Frigid"
1745,1.1137236,"Transfer-PIDL-Frigid"
1756,1.2097635,"Transfer-PIDL-Frigid"
1787,1.5149006,"Transfer-PIDL-Frigid"
1790,1.2096237,"Transfer-PIDL-Frigid"
1815,1.1702847,"Transfer-PIDL-Frigid"
1818,1.0526737,"Transfer-PIDL-Frigid"
1827,0.84658045,"Transfer-PIDL-Frigid"
1831,0.99078393,"Transfer-PIDL-Frigid"
1832,1.181028,"Transfer-PIDL-Frigid"
1840,0.89843595,"Transfer-PIDL-Frigid"
1853,1.2662923,"Transfer-PIDL-Frigid"
1887,1.6713468,"Transfer-PIDL-Frigid"
1891,1.3470782,"Transfer-PIDL-Frigid"
1893,1.0214342,"Transfer-PIDL-Frigid"
1908,1.4597604,"Transfer-PIDL-Frigid"
1910,1.08238,"Transfer-PIDL-Frigid"
1913,0.810426,"Transfer-PIDL-Frigid"
1945,1.1663058,"Transfer-PIDL-Frigid"
1958,1.2081203,"Transfer-PIDL-Frigid"
1970,0.9884803,"Transfer-PIDL-Frigid"
1971,0.86927754,"Transfer-PIDL-Frigid"
1984,1.009619,"Transfer-PIDL-Frigid"
1997,1.5043244,"Transfer-PIDL-Frigid"
2021,1.0895383,"Transfer-PIDL-Frigid"
2027,1.2419081,"Transfer-PIDL-Frigid"
2032,1.1685666,"Transfer-PIDL-Frigid"
2054,1.146182,"Transfer-PIDL-Frigid"
2064,1.325894,"Transfer-PIDL-Frigid"
2097,1.073261,"Transfer-PIDL-Frigid"
2116,0.8405081,"Transfer-PIDL-Frigid"
2117,1.3837172,"Transfer-PIDL-Frigid"
2124,0.7797916,"Transfer-PIDL-Frigid"
2129,1.1184124,"Transfer-PIDL-Frigid"
2162,1.0132275,"Transfer-PIDL-Frigid"
2168,1.2639608,"Transfer-PIDL-Frigid"
2179,1.2869997,"Transfer-PIDL-Frigid"
2186,0.9525265,"Transfer-PIDL-Frigid"
2192,1.0706015,"Transfer-PIDL-Frigid"
2199,1.1998494,"Transfer-PIDL-Frigid"
2202,0.961,"Transfer-PIDL-Frigid"
2203,0.8769072,"Transfer-PIDL-Frigid"
2228,0.8975575,"Transfer-PIDL-Frigid"
2253,1.1880399,"Transfer-PIDL-Frigid"
2262,1.1304712,"Transfer-PIDL-Frigid"
2270,0.9378494,"Transfer-PIDL-Frigid"
2271,0.6610329,"Transfer-PIDL-Frigid"
